instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
LIGHT_YE WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LIGHT_YE.vitaltable	WaveEdit Online (CC0)	4.168	0.369	-3.268	0.044	0.000	2.193	0.036
Lead - Lo-Fi_s Drunk WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lead - Lo-Fi_s Drunk.vital	other	2.130	0.088	-3.749	0.002	0.041	1.827	0.002
Liquid Metal WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalBank/Presets/Liquid Metal.vital	other	4.021	0.001	-2.083	0.072	0.000	1.492	0.000
Little Driven Bass WT.xrni	octave and folded	/home/meneses/.local/share/vital/Growl 6 - Heavy Basses/Presets/Little Driven Bass.vital	user/Discord presets (third-party)	6.257	0.040	-2.493	0.023	0.001	1.808	0.000
Lo-fi French Horns WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lo-fi French Horns.vital	other	2.190	0.001	-5.675	0.001	0.001	1.589	0.004
M1 SlapBass Complex1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 SlapBass Complex1.vitaltable	Kimura Taro (CC0)	10.755	0.179	-2.717	0.004	0.000	2.231	0.009
M1 Strings1 SP1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 Strings1 SP1.vitaltable	Kimura Taro (CC0)	3.920	0.328	-3.916	0.026	0.066	2.382	0.004
MUTATION WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MUTATION.vitaltable	WaveEdit Online (CC0)	2.861	0.050	-3.129	0.069	0.003	1.604	0.037
Make Us Cry Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Make Us Cry Bells.vital	other	3.276	0.000	-3.758	0.012	0.000	1.435	0.005
Mark Tree WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Mark Tree.vital	other	32.374	0.134	0.277	0.000	0.000	2.290	0.017
Meditation Zone WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Meditation Zone.vital	other	11.794	0.339	-1.256	0.000	0.000	1.570	0.012
Mellochoir WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Mellochoir.vital	other	2.365	0.001	-2.941	0.000	0.000	1.650	0.004
Melody 45 WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/Melody 45.vital	user/Discord presets (third-party)	9.081	0.294	-3.141	0.008	0.026	2.057	0.014
MinipopsQuijada WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/MinipopsQuijada.vital	other	21.991	0.040	-0.627	0.000	0.000	1.581	0.020
MultiPhase SQ IcarusStack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhase SQ IcarusStack.vitaltable	Kimura Taro (CC0)	5.101	0.354	-2.224	0.173	0.244	2.339	0.007
MultiPhaseSaw IcarusStack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/MultiPhase OSC/MultiPhaseSaw IcarusStack.vitaltable	Kimura Taro (CC0)	40.189	0.214	-1.793	0.023	0.171	2.939	0.039
NightBirds WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalBank/Presets/NightBirds.vital	other	4.169	0.325	-3.206	0.102	0.097	1.880	0.004
OP1 Digital04I WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital04I.vitaltable	Kimura Taro (CC0)	5.734	0.330	-1.764	0.008	0.187	2.201	0.010
OP1 Digital09 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/TE OP-1/OP1 Digital09.vitaltable	Kimura Taro (CC0)	3.093	0.305	-2.227	0.010	0.298	2.196	0.004
ORGANS01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ORGANS01.vitaltable	WaveEdit Online (CC0)	9.073	0.376	-1.320	0.076	0.005	2.259	0.062
Organ Player WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Organ Player.vital	other	15.153	0.000	-1.662	0.018	0.000	3.028	0.008
PD103 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PD103.vitaltable	WaveEdit Online (CC0)	11.412	0.001	-1.402	0.091	0.000	1.320	0.099
PD104 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PD104.vitaltable	WaveEdit Online (CC0)	20.521	0.004	-0.017	0.318	0.000	1.339	0.103
PPG04 4bit WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG04 4bit.vitaltable	Kimura Taro (CC0)	7.370	0.096	-2.324	0.006	0.020	2.747	0.013
PPG04 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG04.vitaltable	Kimura Taro (CC0)	6.750	0.097	-2.368	0.001	0.021	2.766	0.009
PPG08 4bit WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG08 4bit.vitaltable	Kimura Taro (CC0)	2.257	0.364	-2.026	0.006	0.185	1.899	0.009
PPG08 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG08.vitaltable	Kimura Taro (CC0)	2.067	0.362	-2.341	0.001	0.188	1.883	0.005
PPG_WA08 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA08.vitaltable	WaveEdit Online (CC0)	2.061	0.337	-2.118	0.052	0.255	1.783	0.015
PWM1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/PWM1.vitaltable	Kimura Taro (CC0)	6.093	0.235	-2.074	0.009	0.188	2.636	0.005
Pad Harmo WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalPresets/Presets/Pad Harmo.vital	user/Discord presets (third-party)	8.500	0.271	-1.191	0.000	0.000	1.414	0.017
Phase8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase8.vitaltable	Kimura Taro (CC0)	9.704	0.369	-2.342	0.019	0.034	1.437	0.015
Pink Noise Pad WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Pink Noise Pad.vital	other	6.578	0.188	-2.665	0.003	0.075	3.857	0.004
Plaits01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Mutable Instruments Plaits/Plaits01.vitaltable	Kimura Taro (CC0)	5.455	0.345	-3.576	0.000	0.087	2.068	0.006
Power Pop Snare _Gated Reverb_ WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Power Pop Snare _Gated Reverb_.vital	other	2.027	0.027	-3.822	0.000	0.000	1.576	0.003
RETRO_SP WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RETRO_SP.vitaltable	WaveEdit Online (CC0)	8.645	0.012	-1.512	0.208	0.002	2.552	0.072
RRLYRQ5 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ5.vitaltable	WaveEdit Online (CC0)	3.096	0.009	-3.741	0.052	0.001	1.555	0.023
RRLYRQ6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ6.vitaltable	WaveEdit Online (CC0)	3.187	0.007	-3.636	0.046	0.000	1.536	0.027
RRLYRQ7 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/RRLYRQ7.vitaltable	WaveEdit Online (CC0)	3.075	0.005	-3.576	0.067	0.001	1.607	0.026
RandomFFT1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/RandomFFT/RandomFFT1.vitaltable	Kimura Taro (CC0)	6.455	0.266	-2.636	0.002	0.000	1.966	0.009
RandomFFT3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/RandomFFT/RandomFFT3.vitaltable	Kimura Taro (CC0)	5.412	0.257	-0.810	0.002	0.000	2.138	0.008
SOHLER20 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER20.vitaltable	WaveEdit Online (CC0)	6.116	0.154	-1.667	0.131	0.001	1.830	0.072
SOHLER29 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER29.vitaltable	WaveEdit Online (CC0)	7.892	0.332	-2.636	0.174	0.185	1.916	0.101
SOHLER44 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER44.vitaltable	WaveEdit Online (CC0)	17.631	0.401	-0.863	0.060	0.007	1.445	0.036
SOHLER60 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER60.vitaltable	WaveEdit Online (CC0)	21.058	0.309	-0.905	0.125	0.013	1.916	0.038
SOHLER81 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SOHLER81.vitaltable	WaveEdit Online (CC0)	11.559	0.182	-1.685	0.139	0.004	1.716	0.022
SPECTR01 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SPECTR01.vitaltable	WaveEdit Online (CC0)	13.332	0.222	-0.613	0.113	0.000	2.143	0.039
SUPERSAW WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SUPERSAW.vitaltable	WaveEdit Online (CC0)	9.151	0.015	-0.354	0.337	0.000	1.832	0.127
SYNLP111 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP111.vitaltable	WaveEdit Online (CC0)	4.592	0.001	-3.684	0.040	0.000	1.506	0.057
SYNLP116 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP116.vitaltable	WaveEdit Online (CC0)	12.506	0.004	-1.599	0.114	0.000	1.316	0.019
SYNLP12 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP12.vitaltable	WaveEdit Online (CC0)	2.043	0.005	-2.619	0.110	0.002	1.450	0.009
SYNLP130 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP130.vitaltable	WaveEdit Online (CC0)	23.421	0.137	-0.215	0.095	0.002	1.354	0.041
SYNLP132 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP132.vitaltable	WaveEdit Online (CC0)	13.919	0.037	0.210	0.086	0.001	1.353	0.025
SYNLP148 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP148.vitaltable	WaveEdit Online (CC0)	7.312	0.182	-2.738	0.191	0.024	1.359	0.011
SYNLP159 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP159.vitaltable	WaveEdit Online (CC0)	8.008	0.002	-1.748	0.132	0.000	1.413	0.124
SYNLP160 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP160.vitaltable	WaveEdit Online (CC0)	2.350	0.116	-3.363	0.059	0.061	1.411	0.039
SYNLP164 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP164.vitaltable	WaveEdit Online (CC0)	15.998	0.005	-0.080	0.106	0.000	1.105	0.006
SYNLP165 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP165.vitaltable	WaveEdit Online (CC0)	21.379	0.023	-0.316	0.158	0.001	1.134	0.008
SYNLP182 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP182.vitaltable	WaveEdit Online (CC0)	2.005	0.002	-2.521	0.103	0.001	1.416	0.031
SYNLP184 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP184.vitaltable	WaveEdit Online (CC0)	3.803	0.010	-2.565	0.180	0.000	1.431	0.056
SYNLP185 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP185.vitaltable	WaveEdit Online (CC0)	6.736	0.022	-0.782	0.288	0.000	1.446	0.098
SYNLP198 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP198.vitaltable	WaveEdit Online (CC0)	27.588	0.033	-0.874	0.110	0.001	1.366	0.056
SYNLP27 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP27.vitaltable	WaveEdit Online (CC0)	18.077	0.309	-1.482	0.190	0.014	1.593	0.027
SYNLP31 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP31.vitaltable	WaveEdit Online (CC0)	21.413	0.230	-1.865	0.251	0.133	1.417	0.020
SYNLP38 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP38.vitaltable	WaveEdit Online (CC0)	5.714	0.001	-3.742	0.015	0.001	1.517	0.006
SYNLP43 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP43.vitaltable	WaveEdit Online (CC0)	4.387	0.003	-2.932	0.115	0.000	1.468	0.063
SYNLP44 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP44.vitaltable	WaveEdit Online (CC0)	17.013	0.002	-0.522	0.013	0.000	1.324	0.036
SYNLP47 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP47.vitaltable	WaveEdit Online (CC0)	35.605	0.020	-1.243	0.233	0.000	1.410	0.022
SYNLP63 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP63.vitaltable	WaveEdit Online (CC0)	16.499	0.207	-0.703	0.115	0.008	1.439	0.034
SYNLP66 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP66.vitaltable	WaveEdit Online (CC0)	2.398	0.077	-2.950	0.073	0.000	1.415	0.036
SYNLP74 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP74.vitaltable	WaveEdit Online (CC0)	2.401	0.212	-5.543	0.022	0.147	1.255	0.034
SYNLP80 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP80.vitaltable	WaveEdit Online (CC0)	18.648	0.013	-1.573	0.181	0.000	1.373	0.071
SYNLP82 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP82.vitaltable	WaveEdit Online (CC0)	18.013	0.131	-0.640	0.162	0.002	1.384	0.038
SYNLP83 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP83.vitaltable	WaveEdit Online (CC0)	4.567	0.056	-2.510	0.222	0.003	1.288	0.057
SYNLP85 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP85.vitaltable	WaveEdit Online (CC0)	2.134	0.291	-4.140	0.021	0.116	1.604	0.026
SYNLP86 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP86.vitaltable	WaveEdit Online (CC0)	5.195	0.170	-1.704	0.198	0.109	1.416	0.022
SYNLP98 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP98.vitaltable	WaveEdit Online (CC0)	19.655	0.111	-0.478	0.101	0.000	1.514	0.035
SYNLP99 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP99.vitaltable	WaveEdit Online (CC0)	9.192	0.251	-2.815	0.176	0.097	1.498	0.008
SYNLPG09 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLPG09.vitaltable	WaveEdit Online (CC0)	1.993	0.280	-2.910	0.123	0.171	1.434	0.005
SYNTH_VO WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNTH_VO.vitaltable	WaveEdit Online (CC0)	3.302	0.006	-3.234	0.052	0.002	1.623	0.032
Savage Bass WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Savage Bass.vital	other	3.154	0.000	-3.775	0.012	0.000	1.823	0.004
SawFMRingSP WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Combination of various synthesis methods/SawFMRingSP.vitaltable	Kimura Taro (CC0)	14.217	0.212	-1.507	0.005	0.018	2.757	0.009
SawSync1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/SawSync1.vitaltable	Kimura Taro (CC0)	11.241	0.368	-1.734	0.008	0.025	2.229	0.010
Shine Box WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Shine Box.vital	other	4.591	0.000	-1.158	0.144	0.000	1.522	0.005
Spacey WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Spacey.vital	other	14.827	0.000	-0.523	0.219	0.000	2.267	0.013
Stairway Soloist WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Stairway Soloist.vital	other	11.353	0.059	-2.859	0.000	0.059	1.714	0.024
String Machinest WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/String Machinest.vital	other	2.633	0.089	-4.377	0.004	0.007	1.945	0.002
StringCp1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Karplus Strong/StringCp1.vitaltable	Kimura Taro (CC0)	16.091	0.174	-5.637	0.002	0.036	2.567	0.013
Synth 8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/Synth 8.vital	user/Discord presets (third-party)	2.609	0.137	-4.721	0.004	0.112	1.571	0.004
System Failure Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/System Failure Bells.vital	other	5.460	0.199	-2.357	0.012	0.123	2.835	0.005
THREE SOURCES WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Wavetables/THREE SOURCES.vitaltable	user/Discord presets (third-party)	8.348	0.058	-1.135	0.160	0.043	1.941	0.002
TWIST1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TWIST1.vitaltable	WaveEdit Online (CC0)	7.986	0.013	-1.521	0.046	0.002	2.881	0.051
TWIST6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/TWIST6.vitaltable	WaveEdit Online (CC0)	8.279	0.072	-1.839	0.029	0.040	2.350	0.053
Temple Bell WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Temple Bell.vital	other	2.693	0.227	-5.557	0.001	0.162	2.026	0.004
Term4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AudioTerm/Term4.vitaltable	Kimura Taro (CC0)	34.751	0.207	0.233	0.001	0.000	2.418	0.011
Terra Bend_PD Stack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devicees Terra/Terra Bend+PD Stack.vitaltable	Kimura Taro (CC0)	25.339	0.005	-0.908	0.278	0.000	3.268	0.022
This is the Return WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/This is the Return.vital	other	5.667	0.000	-1.446	0.046	0.000	1.833	0.003
Unison Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Unison Bells.vital	other	11.755	0.215	-0.133	0.000	0.000	1.533	0.014
VIRUS_SA WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VIRUS_SA.vitaltable	WaveEdit Online (CC0)	4.267	0.410	-2.601	0.082	0.065	2.120	0.043
VOCAL_00 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/VOCAL_00.vitaltable	WaveEdit Online (CC0)	12.158	0.050	-2.350	0.177	0.036	2.240	0.119
VS VMorph1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph1.vitaltable	Kimura Taro (CC0)	35.373	0.189	-1.723	0.039	0.105	2.609	0.029
VS VMorph4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph4.vitaltable	Kimura Taro (CC0)	37.631	0.057	-1.200	0.024	0.036	3.122	0.030
VS VMorph5 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Prophet VS Wave/VS VMorph5.vitaltable	Kimura Taro (CC0)	14.966	0.068	-1.829	0.035	0.002	2.324	0.013
Vocal - Roles Reversed WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vocal - Roles Reversed.vital	other	7.602	0.000	-0.625	0.139	0.000	1.919	0.003
Vocal Feels WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Vocal Feels.vital	other	8.300	0.008	-1.633	0.008	0.000	2.492	0.012
abs2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs2.vitaltable	Kimura Taro (CC0)	11.107	0.411	-2.076	0.081	0.012	1.938	0.018
abs3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs3.vitaltable	Kimura Taro (CC0)	7.287	0.376	-1.796	0.017	0.004	1.783	0.013
abs4 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/abs/abs4.vitaltable	Kimura Taro (CC0)	14.146	0.332	-0.954	0.056	0.028	1.821	0.025
ba.022 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/ba.022.vital	user/Discord presets (third-party)	4.981	0.225	-2.942	0.015	0.225	1.857	0.005
base check WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/base check.vital	user/Discord presets (third-party)	5.798	0.093	-2.472	0.011	0.006	2.179	0.009
minimal house stab 14 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/minimal house stab 14.vital	user/Discord presets (third-party)	15.214	0.255	-2.160	0.011	0.003	2.861	0.012
pad 005 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/pad 005.vital	user/Discord presets (third-party)	5.366	0.190	-2.513	0.017	0.154	2.323	0.006
rs.006 WT.xrni	octave and folded	/home/meneses/.local/share/vital/qub1t/Presets/rs.006.vital	user/Discord presets (third-party)	50.759	0.009	-0.945	0.321	0.000	3.436	0.031
